,01 Andalucía,04 Almería,11 Cádiz,14 Córdoba,18 Granada,21 Huelva,23 Jaén,29 Málaga,41 Sevilla,02 Aragón,22 Huesca,44 Teruel,50 Zaragoza,"03 Asturias, Principado de",33 Asturias,"04 Balears, Illes","07 Balears, Illes",05 Canarias,"35 Palmas, Las",38 Santa Cruz de Tenerife,06 Cantabria,39 Cantabria,07 Castilla y León,05 Ávila,09 Burgos,24 León,34 Palencia,37 Salamanca,40 Segovia,42 Soria,47 Valladolid,49 Zamora,08 Castilla - La Mancha,02 Albacete,13 Ciudad Real,16 Cuenca,19 Guadalajara,45 Toledo,09 Cataluña,08 Barcelona,17 Girona,25 Lleida,43 Tarragona,10 Comunitat Valenciana,03 Alicante/Alacant,12 Castellón/Castelló,46 Valencia/València,11 Extremadura,06 Badajoz,10 Cáceres,12 Galicia,"15 Coruña, A",27 Lugo,32 Ourense,36 Pontevedra,"13 Madrid, Comunidad de",28 Madrid,"14 Murcia, Región de",30 Murcia,"15 Navarra, Comunidad Foral de",31 Navarra,16 País Vasco,01 Araba/Álava,48 Bizkaia,20 Gipuzkoa,"17 Rioja, La","26 Rioja, La",18 Ceuta,19 Melilla,Total Nacional
2011M08.1,1133478.0,152104.0,226670.0,47888.0,129432.0,142724.0,39264.0,309789.0,85607.0,208597.0,82134.0,42319.0,84145.0,207565.0,207565.0,236683.0,236683.0,307244.0,165820.0,141424.0,143906.0,143906.0,406823.0,31606.0,61346.0,75892.0,20191.0,77591.0,38647.0,24040.0,47941.0,29569.0,160780.0,27570.0,31599.0,31061.0,18619.0,51931.0,831516.0,277101.0,223222.0,94168.0,237026.0,605540.0,293726.0,127991.0,183823.0,121546.0,61698.0,59848.0,417788.0,162718.0,70995.0,32839.0,151235.0,436841.0,436841.0,90327.0,90327.0,74987.0,74987.0,167750.0,30037.0,75969.0,61744.0,53422.0,53422.0,5835.0,4403.0,5615032.0
2011M07.1,1020463.0,146117.0,191778.0,43684.0,106394.0,140650.0,35061.0,270936.0,85843.0,173880.0,63647.0,29975.0,80257.0,175143.0,175143.0,210951.0,210951.0,277017.0,145296.0,131722.0,129968.0,129968.0,344410.0,25149.0,51173.0,62542.0,17508.0,64610.0,34856.0,20625.0,44370.0,23577.0,138146.0,25737.0,30664.0,22461.0,19501.0,39783.0,755889.0,320536.0,166620.0,69840.0,198894.0,581592.0,279541.0,110923.0,191128.0,102322.0,52643.0,49680.0,343931.0,137315.0,52276.0,26135.0,128206.0,472046.0,472046.0,88842.0,88842.0,61867.0,61867.0,165688.0,27722.0,72963.0,65002.0,41766.0,41766.0,5699.0,3925.0,5093546.0
2011M06.1,927143.0,123199.0,168060.0,51799.0,108628.0,101835.0,37900.0,222068.0,113653.0,153358.0,43375.0,27152.0,82830.0,122482.0,122482.0,183122.0,183122.0,211232.0,114653.0,96579.0,85503.0,85503.0,307065.0,18053.0,47871.0,55302.0,15167.0,57742.0,30860.0,15670.0,48018.0,18381.0,139403.0,28674.0,28644.0,22307.0,18004.0,41774.0,671436.0,284964.0,152348.0,57385.0,176739.0,469328.0,207541.0,87431.0,174356.0,94105.0,49157.0,44948.0,243176.0,98501.0,38605.0,23119.0,82951.0,491096.0,491096.0,77899.0,77899.0,60093.0,60093.0,146302.0,23774.0,65303.0,57226.0,38836.0,38836.0,5003.0,3615.0,4430197.0
2011M05.1,747624.0,65317.0,120809.0,65937.0,100425.0,71966.0,37850.0,165699.0,119620.0,134942.0,27043.0,21867.0,86032.0,102425.0,102425.0,123962.0,123962.0,190226.0,92813.0,97413.0,64969.0,64969.0,273177.0,19048.0,40427.0,46461.0,16130.0,52916.0,25202.0,13373.0,43897.0,15723.0,131086.0,27364.0,28592.0,20050.0,19174.0,35905.0,546590.0,281591.0,106035.0,39887.0,119077.0,352783.0,157252.0,60249.0,135283.0,92107.0,49931.0,42177.0,201701.0,82674.0,31604.0,20692.0,66731.0,471160.0,471160.0,79151.0,79151.0,56169.0,56169.0,134082.0,21651.0,62566.0,49864.0,36315.0,36315.0,5264.0,3016.0,3746751.0
2011M04.1,803909.0,80867.0,127154.0,53928.0,124441.0,72476.0,41095.0,183431.0,120517.0,163664.0,41447.0,30745.0,91472.0,107427.0,107427.0,132124.0,132124.0,182941.0,90590.0,92351.0,76825.0,76825.0,311978.0,23381.0,45828.0,51786.0,14490.0,67599.0,27243.0,17661.0,45883.0,18108.0,146152.0,27577.0,30877.0,25631.0,20755.0,41313.0,593335.0,263674.0,140623.0,51187.0,137851.0,427122.0,185745.0,72213.0,169164.0,116852.0,60618.0,56234.0,215276.0,92047.0,34165.0,22787.0,66277.0,477267.0,477267.0,76531.0,76531.0,58777.0,58777.0,147927.0,24916.0,65178.0,57833.0,41952.0,41952.0,5236.0,3050.0,4088344.0
2011M03.1,660629.0,61376.0,96830.0,46463.0,128931.0,41936.0,30937.0,137093.0,117063.0,150227.0,56082.0,20700.0,73444.0,69467.0,69467.0,90394.0,90394.0,144808.0,69223.0,75586.0,53206.0,53206.0,238327.0,16471.0,36949.0,40755.0,11822.0,47094.0,21368.0,11576.0,39878.0,12414.0,125755.0,24083.0,27431.0,21092.0,15768.0,37381.0,494302.0,260835.0,106125.0,63082.0,64260.0,360631.0,153229.0,54376.0,153026.0,84628.0,43817.0,40811.0,160293.0,69802.0,23034.0,22644.0,44814.0,473654.0,473654.0,61660.0,61660.0,48658.0,48658.0,125011.0,20910.0,60743.0,43358.0,31326.0,31326.0,4375.0,2979.0,3380332.0
2011M02.1,626864.0,60165.0,82534.0,42805.0,133443.0,42807.0,29385.0,137886.0,97839.0,144744.0,59406.0,19155.0,66182.0,63035.0,63035.0,64146.0,64146.0,126038.0,62539.0,63500.0,37953.0,37953.0,210634.0,17190.0,31956.0,35010.0,9169.0,41708.0,22400.0,8861.0,33378.0,10962.0,113992.0,21132.0,22452.0,18167.0,14647.0,37595.0,406363.0,226980.0,73462.0,61173.0,44748.0,323877.0,161759.0,41368.0,120750.0,63859.0,31332.0,32526.0,132340.0,59220.0,19479.0,16567.0,37073.0,448374.0,448374.0,56798.0,56798.0,36952.0,36952.0,104105.0,18288.0,49084.0,36732.0,27028.0,27028.0,4756.0,2626.0,2994483.0
2011M01.1,431162.0,34748.0,46266.0,38905.0,104475.0,20654.0,21242.0,82524.0,82348.0,112185.0,51871.0,14030.0,46283.0,43211.0,43211.0,27115.0,27115.0,129784.0,66173.0,63612.0,30176.0,30176.0,168782.0,11586.0,24767.0,29454.0,7949.0,30489.0,15471.0,7168.0,33080.0,8816.0,92323.0,15820.0,20355.0,13362.0,12898.0,29888.0,331150.0,191957.0,47583.0,52684.0,38926.0,211859.0,103040.0,20476.0,88342.0,48725.0,25102.0,23623.0,116959.0,54199.0,16206.0,13988.0,32566.0,427990.0,427990.0,42504.0,42504.0,29082.0,29082.0,87798.0,14108.0,44830.0,28860.0,20991.0,20991.0,4261.0,2054.0,2358110.0
2010M12.1,525165.0,44981.0,62560.0,47420.0,109154.0,28048.0,30398.0,102088.0,100516.0,134540.0,49812.0,21699.0,63029.0,65054.0,65054.0,30100.0,30100.0,154969.0,76873.0,78097.0,36862.0,36862.0,223073.0,16903.0,30947.0,37721.0,10654.0,45303.0,24809.0,9837.0,34344.0,12554.0,112882.0,18911.0,22035.0,18530.0,14988.0,38419.0,437044.0,233283.0,84135.0,62380.0,57246.0,287936.0,135508.0,35423.0,117004.0,62971.0,29070.0,33900.0,166347.0,81410.0,23550.0,18485.0,42902.0,526745.0,526745.0,53409.0,53409.0,33430.0,33430.0,115637.0,18910.0,56861.0,39866.0,28491.0,28491.0,3521.0,2734.0,3000911.0
2010M11.1,529834.0,48819.0,63425.0,49231.0,87640.0,38984.0,33517.0,102988.0,105232.0,104046.0,19669.0,17605.0,66772.0,69624.0,69624.0,44454.0,44454.0,154054.0,77210.0,76844.0,42795.0,42795.0,246211.0,16849.0,36733.0,42011.0,13326.0,45486.0,22314.0,13126.0,43102.0,13265.0,125234.0,22383.0,25694.0,20564.0,16744.0,39849.0,399521.0,247003.0,72342.0,34819.0,45357.0,292557.0,129545.0,37406.0,125606.0,71173.0,34131.0,37042.0,186311.0,89520.0,25745.0,20014.0,51032.0,457687.0,457687.0,69079.0,69079.0,37336.0,37336.0,121917.0,19584.0,59451.0,42882.0,31548.0,31548.0,4632.0,2873.0,2990886.0
